DATE,PLANT,MATERIAL,RANKING
20210208,D105,10000050,1
20210208,D111,10000050,1
20210208,D111,10000906,1
20210208,D120,10000050,1
20210208,D136,10000000,1
20210208,D145,10000050,1
20210208,D145,10000069,1
20210208,D677,10000050,1
20210209,D074,10000050,1
20210209,D075,10000050,1
20210209,D077,10000050,1
20210209,D079,10000050,1
20210209,D080,10000050,1
20210209,D081,10000050,1
20210209,D081,10000906,1
20210209,D083,10040465,1
20210209,D084,10000050,1
20210209,D085,10000050,1
20210209,D086,10000050,1
20210209,D086,10000069,1
20210209,D093,10000050,1
20210209,D098,10000050,1
20210209,D101,10000050,1
20210209,D105,10000050,1
20210209,D111,10000050,1
20210209,D111,10000906,1
20210209,D120,10000050,1
20210209,D144,10000050,1
20210209,D144,10000069,1
20210209,D145,10000050,1
20210209,D145,10000069,1
20210209,D677,10000050,1
20210210,D074,10000050,1
20210210,D075,10000050,1
20210210,D077,10000050,1
20210210,D079,10000050,1
20210210,D079,10000906,1
20210210,D081,10000050,1
20210210,D083,10000050,1
20210210,D083,10040465,1
20210210,D084,10000050,1
20210210,D086,10000050,1
20210210,D086,10000069,1
20210210,D093,10000050,1
20210210,D098,10000050,1
20210210,D105,10000050,1
20210210,D111,10000050,1
20210210,D111,10000906,1
20210210,D120,10000050,1
20210210,D144,10000050,1
20210210,D145,10000050,1
20210211,D074,10000050,1
20210211,D075,10000050,1
20210211,D077,10000050,1
20210211,D079,10000050,1
20210211,D079,10040465,1
20210211,D080,10000050,1
20210211,D081,10000050,1
20210211,D083,10000050,1
20210211,D083,10040465,1
20210211,D084,10000050,1
20210211,D084,10040465,1
20210211,D085,10000050,1
20210211,D086,10000050,1
20210211,D086,10000069,1
20210211,D093,10000050,1
20210211,D098,10000050,1
20210211,D101,10000050,1
20210211,D105,10000050,1
20210211,D105,10000906,1
20210211,D120,10000050,1
20210211,D144,10000050,1
20210211,D145,10000050,1
20210211,D145,10000069,1
20210211,D677,10000050,1
20210212,D074,10000050,1
20210212,D075,10000050,1
20210212,D077,10000050,1
20210212,D079,10000050,1
20210212,D080,10000050,1
20210212,D081,10000050,1
20210212,D083,10000050,1
20210212,D084,10000050,1
20210212,D085,10000050,1
20210212,D085,10040465,1
20210212,D086,10000050,1
20210212,D086,10000069,1
20210212,D093,10000050,1
20210212,D098,10000050,1
20210212,D101,10000050,1
20210212,D101,10000069,1
20210212,D105,10000050,1
20210212,D111,10000050,1
